English;Norsk;
____ ? There's a app for that.;___ ? Det finnes en app for det !;
Why can't I sleep at night ?;Hvorfor klarer jeg ikke å sove om natten?;
What's that smell ?;Hva er den lukta?;
I got 99 problems but _____ ain't one.;Jeg har 99 problemer, men _______ er ikke et av dem.;
Who stole the cookies from the cookie jar ?;Hvem stjal kakene fra kakeboksen?;
What's the next Happy Meal toy ?;Hva blir den neste Happy Meal-leken;
Anthropologists have recently discovered a primitive tribe that worships ____;Antropologer har nylig oppdaget en primitiv stamme som tilber ______;
It's a pity that kids these days are all getting involved with ____;Det er en skam at ungdommen nå til dags ekperimenterer med  ___.;
During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ____;I Picassos ofte oversette Brune Periode produserte han hundrevis av bilder av _____.;
Alternative medecine is now embracing the curative powers of ____;Alternativ medisin anbefaler nå de helbredende egenskapene til _______?;
And the Academy Award for ____ goes to ____ (2);Og prisen for beste _____ går til ______ (2 kort);
What's that sound ?;Hva er den lyden ?;
What ended my last relationship ?;Hva førte til avslutningen av mitt forrige forhold ?;
MTV's new reality show features eight washed-up celebrities living with ____ ;MTVs nye reality show er åtte utrangerte kjendiser som bor med _____;
I drink to forget ____;Jeg drikker for å glemme ______;
I'm sorry Professor, but I couldn't complete my homework because of ____;Beklager Professor, men jeg kunne ikke fullføre leksene mine på grunn av ______;
What is Batman's guilty pleasure ?;Hva er Batmans hemmelige nytelse ?;
This is the way the worlds ends, Not with a bang but with ____;Slik ender verden, ikke med et smell men med _______;
What's a girl's best friend ?;Hva er en pikes beste venn?;
TSA guidelines now prohibits ____ on airplanes.;Etter nye retningslinjer er nå ______ forbudt på fly.;
____. This is how I die;______ . Slik ønsker jeg å dø.;
For my next trick, I will pull ____ out of ____ (2);I mitt neste triks, skal jeg trekke _____ ut av _____ (2 kort);
In the new Disney Channel Original Movie, Hannah Montana struggles with ____ for the first time.;I den nye Disney-filmen kjemper Hanna Montana med ______ for første gang;
____ is a slippery slope that leads to ____ (2);___ kan lede ut på glattisen og føre til _____ (2 kort);
What does Dick Cheney prefer ?;Hva liker Siv Jensen?;
I wish I hadn't lost the instruction manual for ____;Jeg skulle ønske jeg ikke hadde mistet manualen til _______;
Instead of coal, Santa now gives the bad children ____.;Istedenfor kull, gir Julenissen nå ______ til de slemme barna.;
What's the most emo ?;Hva er mest emo ?;
In 1000 years, when paper money is but a distant memory, ____ will be our currency.;Om 1000 år, når papirpenger er et fjernt minne, kommer vi til å betale med _____ .;
What's the next superhero/sidekick duo ? (2);Hva blir den neste superhelt/sidekick duoen ? (2 kort);
In M. Night Shyamalan's new movie, Bruce Willis discovers that ____ had really been ___ all along (2);I M. Night Shyamalans nye film oppdager Bruce Willis at ____ egentlig var _____ gjennom hele filmen (2 kort);
A romantic, candlelit dinner would be incomplete without ____;En romantisk middag med stearinlys er ikke komplett uten _______;
_____. Betcha can't have just one!;______.  Det skal godt gjøres å bare spise en.;
White people like ____;Hvite folk liker _____;
____. High five, bro.;_____. High five, kompis.;
Next from J.K. Rowling: Harry Potter and the Chamber of ____;Den neste fra J.K. Rowling: Harry Potter og ________kammeret;
BILLY MAYS HERE FOR;Kjøp denne helseblenderen og få med ________ på kjøpet.;
In a world savaged by ____, our only solace is _____(2);I en verden ødelagt av _______ er vår eneste trøst ______(2 kort);
War! What is it good for ?;Krig! Hva er det godt for?;
During sex, I like to think about ____;Når vi har sex liker jeg å tenke på _______;
What are my parents hiding from me ?;Hva skjuler mine foreldre for meg?;
What will always get you laid ?;Et garantert sjekketriks?;
When I'm in prison, I'll have ____ smuggled in.;Når jeg kommer i fengsel skal jeg få smuglet inn ______;
What did I bring back from Mexico ?;Hva tok jeg med tilbake fra Amsterdam ?;
What don't you want to find in your Chinese food ?;Hva vil du helst ikke finne i kinamaten din ?;
What will I bring back in time to convince people that I am a powerful wizard ?;Hva bør jeg ta med tilbake i tid for å overbevise folk om at jeg er en mektig trollmann ?;
How am I maintaining my relationship status ?;Hvordan sikrer jeg min sivile status?;
____. It's a trap !;_______. Det er en felle!;
Coming to Broadway this season,  ____: the musical.;Nytt på West End i høst, ______ : Musikalen;
While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on ____;Mens USA konkurrerte med Soviet om å komme først til månen la norske myndigheter millioner av kroner i ______;
After Hurricane Katrina, Sean Penn brought ____ to the people of New Orleans;Etter finanssammenbruddet i Hellas har Stein Eirik Hagen gitt ________ til det greske folk.;
Due to a PR fiasco, Walmart no longer offers ____;På grunn av en PR-fiasko selger ikke lenger Clas Ohlson ______;
In his new summer comedy, Rob Schneider is ____ trapped in the body of ____ (2);I sommerens nye komedie er Rob Schneider ______ fanget i krokken til _______;
Rumor has it that Vladimir Putin's favorite dish is ____ stuffed with ____ (2);Det ryktes at Vladimir Putins favorittrett er ______ fylt med ______. (2 kort);
But before I kill you, Mr Bond, I must show you ____;Men før jeg dreper deg, Mr. Bond, må jeg vise deg _______;
What gives me uncontrollable gas ?;Hva gir meg kronisk flatulens?;
What do old people smell like ?;Hva lukter det av gamle folk?;
The class field trip was completely ruined by ___;Skoleturen ble fullstendig ødelagt av ______;
When Pharaoh remained unmoved, Moses called down a Plague of ____;Da Farao fortsatt nektet, kalte Moses ned en Plage med ______;
What's my secret power ?;Hva er min hemmelige maktkilde?;
What's there a ton of in heaven ?;Hva er det masse av i himmelen?;
What would grandma find disturbing, yet oddly charming ?;Hva ville bestemor synes var sjokkerende, men overraskende sjarmerende ?;
I never truly understood ____ until I encountered ____ (2);Jeg forsto aldri virkelig _____ før jeg møtte _____ (2 kort);
The US has begun airdropping ___ to the children of Afghanistan;Amerikanerne har begynt å sende luftslipp med _____ til de Afghanske barna.;
What helps Obama unwind ?;Hva hjelper Peter Stordalen å slappe av?;
What did Vin Diesel eat for dinner ?;Hva spiste Bjørn Sem til middag?;
____ : Good to the last drop;_______: God til siste dråpe;
Why am I sticky ?;Hvorfor er jeg klebrig?;
What gets better with age ?;Hva blir bedre med alderen ?;
____: kid-tested, mother-approved;_____ : Testet på barn, anbefalt av mødre.;
What's the crustiest ?;Hva er det groveste?;
What's Teach for America using to inspire inner city student to succeed?;Hva bruker Oslo kommune for å innspirere østkantungdom til å studere?;
Studies show that lab rats navigate mazes 50% after being exposed to ____;Studier viser at labrotter løser labyrinter 50% raskere etter å ha blitt utsatt for _____;
Life was difficult for cavemen before _____;Livet var vanskelig for hulemenn før ________;
Make a haiku. (draw 2, pick 3);Lag et haiku. (Trekk 2, spill 3);
I do not know with what weapons World War III will be fought, but World War IV will be fought with ____;Jeg vet ikke hvilke våpen som vil bli brukt i 3. verdenskrig, men den 4. vil bli kjempet med _______;
Why do I hurt all over ?;Hvorfor gjør det vondt i hele kroppen min?;
What am I giving up for Lent ?;Nyttårsforsettet mitt er å slutte med ______;
In Michael Jackson's final moments, he thought about ____;I sine siste øyeblikk tenkte Michael Jackson på _____ ;
In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on ____;I et forsøk på å nå et bredere publikum har Nasjonalmuseet åpent en interaktiv utstilling av ______;
When I am President of the United States, I will create the Department of ____;Når jeg blir statsminister, skal jeg lage et department for _____;
LifeTime presents _____, the story of ____(2);Kanal FEM presenterer ____, historien om ____ ( 2 kort);
When I am a billionaire, I shall erect a 50-foot statue to commemorate ____;Når jeg blir milliardær skal jeg sette opp en 30 meter høy statue til minne om ____;
When I was tripping on acid, ____ turned into ____ (2);Mens jeg var på en syretripp ble ______ plutselig til _____ (2 kort);
That's right, I killed ____, How, you ask ? ____ (2);Det stemmer, jeg drepte ______? Hvordan? Med _____ (2 kort);
What's my anti-drug ?;Hva er mitt anti-dop?;
____ + ____ = _____ (draw 2, pick 3);____ + ____ = ____ trekk 2 kort, velg 3);
What never fails to liven up the party ?;Hva er garantert å sette fart på festen?;
What's the new fad diet ?;Hva er den nye motedieten?;
Major League Baseball has banned ____ for giving players an unfair advantage.;Norges Fotballforbund har forbudt _____, siden det gir spillerne en urettferdig fordel.;
